STDZD_PROP_CITY,state,minlat,maxlat,minlon,maxlon
COOSADA,AL,32.486151,32.520495,-86.356967,-86.302479
CORDOVA,AL,33.659599,33.818935,-87.245541,-87.0644
COTTONDALE,AL,33.079214,33.258911,-87.474196,-87.294895
COTTONWOOD,AL,30.999908,31.105727,-85.43584,-85.212522
COURTLAND,AL,34.581239,34.700598,-87.353455,-87.254829
COWARTS,AL,31.178082,31.230608,-85.31926,-85.280101
COY,AL,31.83692,31.91396,-87.493394,-87.359872
CRAGFORD,AL,33.072187,33.261306,-85.8329,-85.654109
CRANE HILL,AL,33.960443,34.12352,-87.1401,-86.961578
CREOLA,AL,30.865716,30.915751,-88.070443,-87.979155
CROPWELL,AL,33.457727,33.553312,-86.377088,-86.271787
CROSSVILLE,AL,34.202104,34.369148,-86.16001,-85.929421
CUBA,AL,32.351696,32.55656,-88.396026,-88.2669
CULLMAN,AL,33.961475,34.30644,-87.110778,-86.618122
CUSSETA,AL,32.696899,32.812115,-85.328891,-85.198882
DADEVILLE,AL,32.65398,32.971262,-85.894086,-85.618547
DALEVILLE,AL,31.147125,31.3291,-85.822205,-85.64747
DANVILLE,AL,34.30504,34.511112,-87.266429,-87.019897
DAPHNE,AL,30.554775,30.675622,-87.970624,-87.796288
DAUPHIN ISLAND,AL,30.242901,30.264158,-88.191559,-88.082092
DAVISTON,AL,32.977973,33.1102,-85.820556,-85.604401
DAWSON,AL,34.290352,34.412483,-85.981899,-85.870395
DEATSVILLE,AL,32.500443,32.724346,-86.527115,-86.30423
DECATUR,AL,34.48521,34.634017,-87.113701,-86.825317
DEER PARK,AL,31.1847,31.2606,-88.3139,-88.2616
DELTA,AL,33.3808,33.564852,-85.811424,-85.611192
DEMOPOLIS,AL,32.343913,32.522739,-88.023379,-87.795029
DETROIT,AL,33.998339,34.145454,-88.207989,-88.059681
DICKINSON,AL,31.74438,31.792297,-87.7361,-87.62424
DIXONS MILLS,AL,32.025485,32.148046,-87.824465,-87.722304
DOCENA,AL,33.5586,33.5586,-86.9317,-86.9317
DOLOMITE,AL,33.455421,33.475681,-86.970985,-86.952734
DORA,AL,33.645524,33.801238,-87.128771,-86.937531
DOTHAN,AL,31.074471,31.32388,-85.544098,-85.298255
DOUBLE SPRINGS,AL,34.02222,34.246234,-87.523505,-87.2674
DOZIER,AL,31.4523,31.583637,-86.4668,-86.2585
DUNCANVILLE,AL,33.011537,33.140381,-87.523426,-87.316597
DUTTON,AL,34.565696,34.663016,-85.978322,-85.851885
EASTABOGA,AL,33.540073,33.64038,-86.056704,-85.936096
ECHOLA,AL,33.258492,33.342209,-87.787773,-87.77121
ECLECTIC,AL,32.548573,32.753948,-86.112798,-85.930634
EIGHT MILE,AL,30.745689,30.873241,-88.258087,-88.106885
ELBA,AL,31.239575,31.575312,-86.1957,-85.9586
ELBERTA,AL,30.315372,30.510732,-87.632119,-87.464207
ELDRIDGE,AL,33.831657,33.992888,-87.757348,-87.575407
ELKMONT,AL,34.859199,34.994686,-87.128024,-86.8114
ELMORE,AL,32.515311,32.583107,-86.380163,-86.288368
ELROD,AL,33.255795,33.447931,-87.826854,-87.751616
EMELLE,AL,32.700155,32.8688,-88.3555,-88.216995
EMPIRE,AL,33.765591,33.861535,-87.083202,-86.925774
ENTERPRISE,AL,31.198309,31.422223,-85.9997,-85.75573
EPES,AL,32.6756,32.775148,-88.252697,-88.127773
EQUALITY,AL,32.707757,32.7856,-86.23769,-86.007942
ESTILLFORK,AL,34.860458,34.988766,-86.252249,-86.150548
ETHELSVILLE,AL,33.316862,33.523952,-88.295539,-88.123456
EUFAULA,AL,31.708623,32.153205,-85.354091,-85.082944
EUTAW,AL,32.819145,33.0509,-88.168597,-87.8391
EVA,AL,34.292896,34.401125,-86.8207,-86.655597
EVERGREEN,AL,31.3128,31.691165,-87.094284,-86.749127
FACKLER,AL,34.778067,34.864291,-86.064981,-85.901484
FAIRFIELD,AL,33.45203,33.498696,-86.939697,-86.903175
FAIRHOPE,AL,30.377014,30.581772,-87.932533,-87.801323
FALKVILLE,AL,34.264495,34.416355,-87.065127,-86.764015
FAUNSDALE,AL,32.338813,32.480112,-87.681351,-87.59333
FAYETTE,AL,33.447956,33.849913,-87.986246,-87.669337
FITZPATRICK,AL,32.0613,32.306534,-86.003559,-85.817691
FIVE POINTS,AL,32.957729,33.10738,-85.433596,-85.213061
FLAT ROCK,AL,34.729988,34.877378,-85.784422,-85.565445
FLOMATON,AL,30.996594,31.091013,-87.358314,-87.166029
FLORALA,AL,30.994104,31.1249,-86.5354,-86.2068
FLORENCE,AL,34.750797,35.004765,-87.936402,-87.50354
FOLEY,AL,30.316177,30.461411,-87.837029,-87.603226
FOREST HOME,AL,31.8051,31.93078,-86.908229,-86.771506
FORKLAND,AL,32.543447,32.6464,-87.8748,-87.798784
FORT DEPOSIT,AL,31.91891,32.059188,-86.693989,-86.4037
FORT MITCHELL,AL,32.219182,32.361637,-85.054218,-84.949127
FORT PAYNE,AL,34.270807,34.608746,-85.888276,-85.60702
FORT RUCKER,AL,31.340096,31.349789,-85.722454,-85.715744
FOSTERS,AL,33.018624,33.131017,-87.754021,-87.619499
FRANKLIN,AL,31.611685,31.727711,-87.556243,-87.392669
FRANKVILLE,AL,31.6076,31.6887,-88.1956,-88.0827
FRISCO CITY,AL,31.311685,31.557362,-87.540252,-87.344698
FRUITDALE,AL,31.2914,31.4083,-88.435409,-88.35276
FRUITHURST,AL,33.7071,33.86111,-85.57687,-85.377446
FULTONDALE,AL,33.586185,33.632755,-86.861469,-86.787682
FYFFE,AL,34.37879,34.558156,-86.024042,-85.873299
GADSDEN,AL,33.854889,34.165238,-86.092161,-85.756937
GAINESTOWN,AL,31.415272,31.486581,-87.774453,-87.6142
GAINESVILLE,AL,32.777195,32.8226,-88.207649,-88.1595
GALLANT,AL,33.936624,34.037018,-86.31176,-86.176842
GALLION,AL,32.34502,32.568605,-87.819118,-87.666326
GARDENDALE,AL,33.629112,33.776093,-86.954368,-86.758552
GAYLESVILLE,AL,34.240972,34.484286,-85.654142,-85.469057
GENEVA,AL,30.998903,31.136568,-85.957064,-85.836304
GEORGIANA,AL,31.54434,31.781786,-86.93778,-86.502708
GERALDINE,AL,34.334975,34.410374,-86.070551,-85.968097
GILBERTOWN,AL,31.83195,32.025836,-88.464217,-88.185829
GLENWOOD,AL,31.557753,31.667891,-86.176157,-86.041824
GOODSPRINGS,AL,33.6688,33.6688,-87.2316,-87.2316
GOODWATER,AL,32.911669,33.236221,-86.191465,-85.91464
GORDO,AL,33.102494,33.5034,-88.010444,-87.781618
GORDON,AL,31.0013,31.151543,-85.292244,-85.040849
GOSHEN,AL,31.670259,31.9083,-86.236413,-86.056879
GRADY,AL,31.86696,32.042423,-86.275485,-86.011456
GRAHAM,AL,33.4263,33.494079,-85.421041,-85.296998
GRAND BAY,AL,30.419049,30.602043,-88.404693,-88.263995
GRANT,AL,34.429224,34.584402,-86.455073,-86.185532
GRAYSVILLE,AL,33.61116,33.7141,-87.000465,-86.915169
GREENSBORO,AL,32.560831,32.868039,-87.751391,-87.43067
GREENVILLE,AL,31.559288,31.952562,-86.839661,-86.444442
GROVE HILL,AL,31.540103,31.816885,-87.885074,-87.694272
GROVEOAK,AL,34.401004,34.476604,-86.133448,-85.994583
GUIN,AL,33.866824,34.085928,-87.96487,-87.808732
GULF SHORES,AL,30.227854,30.352581,-88.0222,-87.632858
GUNTERSVILLE,AL,34.207225,34.465618,-86.492915,-86.174329
GURLEY,AL,34.60312,34.840335,-86.449953,-86.341339
HACKLEBURG,AL,34.156385,34.353216,-87.928245,-87.770866
HALEYVILLE,AL,34.07,34.3422,-87.8974,-87.454542
HAMILTON,AL,34.054113,34.286679,-88.188492,-87.796227
HANCEVILLE,AL,33.901367,34.134048,-86.995378,-86.65566
HARDAWAY,AL,32.236442,32.325111,-85.888446,-85.795426
HARPERSVILLE,AL,33.275894,33.380186,-86.548574,-86.367148
HARTFORD,AL,31.0044,31.193562,-85.868803,-85.590446
HARTSELLE,AL,34.363328,34.517167,-87.082,-86.790657
HARVEST,AL,34.751643,34.887804,-86.840234,-86.648069
HATCHECHUBBEE,AL,32.199875,32.379951,-85.378749,-85.216172
HAYDEN,AL,33.819732,34.037401,-86.955983,-86.589027
HAYNEVILLE,AL,32.062972,32.314904,-86.772178,-86.5457
HAZEL GREEN,AL,34.882565,34.9919,-86.704397,-86.448652
HEADLAND,AL,31.283609,31.515977,-85.43417,-85.227723
HEFLIN,AL,33.458467,33.71683,-85.723197,-85.363187
HELENA,AL,33.210358,33.327827,-87.025591,-86.8162
HENAGAR,AL,34.577381,34.712275,-85.860403,-85.600693
HIGDON,AL,34.785716,34.854808,-85.640104,-85.576241
HIGHLAND HOME,AL,31.8311,32.060192,-86.401024,-86.219445
HILLSBORO,AL,34.5375,34.721037,-87.265,-87.119524
HODGES,AL,34.267933,34.436571,-88.013807,-87.896038
HOLLINS,AL,33.1869,33.1869,-86.0953,-86.0953
HOLLY POND,AL,34.119928,34.248471,-86.657532,-86.540125
HOLLYTREE,AL,34.794055,34.860919,-86.32842,-86.221712
HOLLYWOOD,AL,34.711086,34.808377,-86.0386,-85.858902
HONORAVILLE,AL,31.760081,31.961307,-86.527931,-86.3727
HOPE HULL,AL,32.081865,32.307037,-86.533321,-86.336393
HORTON,AL,34.096674,34.241386,-86.473759,-86.271346
HOUSTON,AL,34.079354,34.297107,-87.332439,-87.230223
HUNTSVILLE,AL,34.488112,34.880831,-86.75792,-86.423183
HURTSBORO,AL,32.182419,32.314018,-85.526115,-85.291313
IDER,AL,34.665188,34.762351,-85.715482,-85.58077
IRVINGTON,AL,30.422855,30.547202,-88.278343,-88.18252
JACHIN,AL,32.2252,32.239855,-88.188916,-88.1663
JACK,AL,31.470195,31.611966,-86.062791,-85.848673
JACKSON,AL,31.345087,31.726538,-88.031616,-87.7203
JACKSONS GAP,AL,32.803875,32.950612,-85.901031,-85.751154
JACKSONVILLE,AL,33.766431,33.946373,-85.877586,-85.662003
JASPER,AL,33.769943,34.006643,-87.405698,-87.076203
JEMISON,AL,32.8919,33.034831,-86.865322,-86.617148
JONES,AL,32.472047,32.611151,-86.9201,-86.785728
JOPPA,AL,34.249267,34.36974,-86.635928,-86.537529
KANSAS,AL,33.9016,33.9016,-87.5519,-87.5519
KELLYTON,AL,32.856049,33.024647,-86.1254,-85.938955
KENNEDY,AL,33.496704,33.710769,-88.051053,-87.899059
KILLEN,AL,34.80864,35.003022,-87.595947,-87.400658
KIMBERLY,AL,33.754185,33.79723,-86.822303,-86.74955
KINSTON,AL,31.064359,31.33601,-86.193444,-86.069321
KNOXVILLE,AL,32.9614,33.045196,-87.8168,-87.746762
LACEYS SPRING,AL,34.466152,34.572538,-86.689713,-86.551788
LAFAYETTE,AL,32.734203,33.071752,-85.589711,-85.312504
LANETT,AL,32.798546,32.9966,-85.327583,-85.184448
LANGSTON,AL,34.44606,34.554909,-86.187637,-86.056281
LAPINE,AL,31.904212,32.079767,-86.400709,-86.27921
LAWLEY,AL,32.791752,32.873147,-87.0473,-86.922146
LEEDS,AL,33.448406,33.585861,-86.642387,-86.468964
LEESBURG,AL,34.087256,34.263701,-85.826639,-85.701498
LEIGHTON,AL,34.568607,34.781423,-87.61607,-87.441207
LENOX,AL,31.334,31.350628,-87.2223,-87.188259
LEROY,AL,31.452419,31.5213,-88.001358,-87.941025
LESTER,AL,34.922154,34.997707,-87.188691,-87.050162
LETOHATCHEE,AL,31.993611,32.1409,-86.653646,-86.353981
LEXINGTON,AL,34.901367,35.002929,-87.4996,-87.25476
LILLIAN,AL,30.343424,30.459054,-87.507553,-87.405685
LINCOLN,AL,33.5042,33.695827,-86.210388,-86.014557
LINDEN,AL,32.144181,32.425449,-87.844263,-87.670318
LINEVILLE,AL,33.218242,33.454155,-85.9266,-85.579168
LISMAN,AL,32.129445,32.300689,-88.413699,-88.252855
LITTLE RIVER,AL,31.202423,31.298876,-87.77121,-87.678746
LIVINGSTON,AL,32.454725,32.672349,-88.329489,-87.914
LOCUST FORK,AL,33.873669,33.918892,-86.656357,-86.600994
LOGAN,AL,34.071771,34.1745,-87.131315,-86.949518
LOUISVILLE,AL,31.683472,31.902486,-85.657838,-85.472421
LOWER PEACH TREE,AL,31.829393,31.939779,-87.594941,-87.5295
LOWNDESBORO,AL,32.214907,32.399428,-86.799606,-86.4896
LOXLEY,AL,30.545844,30.724067,-87.818146,-87.6819
LUVERNE,AL,31.607027,31.883815,-86.420354,-86.162512
LYNN,AL,34.005102,34.0928,-87.622886,-87.474096
MADISON,AL,34.563995,34.828611,-86.893282,-86.702217
MAGNOLIA,AL,32.067098,32.196562,-87.754657,-87.657741
MAGNOLIA SPRINGS,AL,30.392595,30.406317,-87.784803,-87.767136
MAPLESVILLE,AL,32.686317,32.894888,-86.92437,-86.757012
MARBURY,AL,32.593487,32.752545,-86.598404,-86.365517
MARION,AL,32.6027,32.8622,-87.4489,-87.284
MARION JUNCTION,AL,32.357109,32.48092,-87.414331,-87.108696
MATHEWS,AL,32.086072,32.287491,-86.114151,-85.9345
MAYLENE,AL,33.194229,33.252275,-86.908572,-86.840683
MC CALLA,AL,33.223957,33.349281,-87.191711,-86.99958
MC INTOSH,AL,31.172,31.2867,-88.1251,-87.9954
